SKU,gramos/ml,nombre,categoria_general,categoria,precio,ingrediente_clave,país,url,categoria_normalizada,categoria_original
35490,125,Bombă Baie Efervescentă - Pară & Pepene RoșuAdaugă la .,Ducha y Baño,Bomba de Baño,12.9,Pera y Sandía,Rumania,https://nala.ro/products/bomba-baie-efervescenta-para-pepene-rosu,Bomba de Baño,Aceite Corporal
35469,125,Bombă Baie Efervescentă - Fructe de Pădure & BergamotăAdaugă la .,Ducha y Baño,Aceite Corporal,12.9,Frutos del Bosque y Bergamota,Rumania,https://nala.ro/products/bomba-baie-efervescenta-fructe-de-padure-bergamota,Bomba de Baño,Aceite Corporal
35162,200,Gel de duș - Ananas & Lemn SantalAdaugă la .,Ducha y Baño,Gel de Ducha,19.9,Piña y Sándalo,Rumania,https://nala.ro/products/gel-de-dus-ananas-lemn-santal,Gel de Ducha,Sorbete Corporal
35087,140,Bombă Baie Efervescentă Stea de Mare - Fructul Pasiunii & LitchiAdaugă la .,Ducha y Baño,Bomba de Baño,27.9,Fruta de la Pasión y Lichi,Rumania,https://nala.ro/products/bomba-baie-efervescenta-stea-de-mare-fructul-pasiunii-litchi,Bomba de Baño,Exfoliante Corporal
35070,145,Bombă Baie Efervescentă Scoică - Ananas & Lemn SantalAdaugă la .,Ducha y Baño,Bomba de Baño,19.9,Piña y Sándalo,Rumania,https://nala.ro/products/bomba-baie-efervescenta-scoica-ananas-lemn-santal,Bomba de Baño,Jabon Natural
64493,50,Bombă Baie Hidratantă - FisticAdaugă la .,Ducha y Baño,Crema de Baño,8.9,Fistic,Rumania,https://nala.ro/products/bomba-baie-hidratanta-fistic,Bomba de Baño,Jabon Natural
64486,200,Gel de duș - CăpșuniAdaugă la .,Ducha y Baño,Gel de Ducha,19.9,Fresa,Rumania,https://nala.ro/products/gel-dus-capsuni,Gel de Ducha,Bomba de Baño
64492,50,Bombă Baie Hidratantă - Lămaie și LimeAdaugă la .,Ducha y Baño,Crema de Baño,8.9,Limón y Lima,Rumania,https://nala.ro/products/bomba-baie-hidratanta-lamaie-si-lime,Bomba de Baño,Gel de Ducha
64491,50,Bombă Baie Hidratantă - LiliacAdaugă la .,Ducha y Baño,Crema de Baño,12.9,Lila,Rumania,https://nala.ro/products/bomba-baie-hidratanta-liliac,Bomba de Baño,Gel de Ducha
64490,50,Bombă Baie Hidratantă - Trandafiri & VanilieAdaugă la .,Ducha y Baño,Crema de Baño,12.9,Rosas,Rumania,https://nala.ro/products/bomba-baie-hidratanta-trandafiri-vanilie,Bomba de Baño,Gel de Ducha
64477,200,Gel de duș cu Sclipici - Căpșuni DulciAdaugă la .,Ducha y Baño,Gel de Ducha,29.9,Fresa,Rumania,https://nala.ro/products/gel-de-dus-cu-sclipici-capsuni-dulci,Gel de Ducha,Gel de Ducha
30725,125,Bombă Baie Efervescentă - CireșeAdaugă la .,Ducha y Baño,Bomba de Baño,12.9,Cereza,Rumania,https://nala.ro/products/bomba-baie-efervescenta-cirese,Bomba de Baño,Bomba de Baño
74231,125,Bombă Baie Efervescentă cu sclipici - Struguri RoșiiAdaugă la .,Ducha y Baño,Bomba de Baño,12.9,Uvas Rojas,Rumania,https://nala.ro/products/bomba-baie-efervescenta-cu-sclipici-struguri-rosii,Bomba de Baño,Bomba de Baño
74214,125,Bombă Baie Efervescentă - BujoriAdaugă la .,Ducha y Baño,Bomba de Baño,12.9,Peonías,Rumania,https://nala.ro/products/bomba-baie-efervescenta-bujori,Bomba de Baño,Gel de Ducha
70478,125,Bombă Baie Efervescentă - Piersică StrălucitoareAdaugă la .,Ducha y Baño,Bomba de Baño,12.9,Melocotón Brillante,Rumania,https://nala.ro/products/bomba-baie-efervescenta-piersica-stralucitoare,Bomba de Baño,Bomba de Baño
70475,125,Bombă Baie Efervescentă - Sâmburi de StruguriAdaugă la .,Ducha y Baño,Bomba de Baño,12.9,Semillas de Uva,Rumania,https://nala.ro/products/bomba-baie-efervescenta-samburi-de-struguri,Bomba de Baño,Bomba de Baño
70474,125,Bombă Baie Efervescentă - Floare de LotusAdaugă la .,Ducha y Baño,Bomba de Baño,12.9,Flor de Loto,Rumania,https://nala.ro/products/bomba-baie-efervescenta-floare-de-lotus,Bomba de Baño,Gel de Ducha
70429,125,Bombă Baie Efervescentă - BusuiocAdaugă la .,Ducha y Baño,Bomba de Baño,12.9,Albahaca,Rumania,https://nala.ro/products/bomba-baie-efervescenta-busuioc,Bomba de Baño,Bomba de Baño
70422,100,Săpun Natural - Cireșe & BananeAdaugă la .,Ducha y Baño,Jabon Natural,12.9,Cerezas y Plátanos,Rumania,https://nala.ro/products/sapun-natural-cirese-banane,Jabón Natural,Bomba de Baño
70421,100,Săpun Natural - LiliacAdaugă la .,Ducha y Baño,Jabon Natural,12.9,Liliac,Rumania,https://nala.ro/products/sapun-natural-liliac,Jabón Natural,Crema de Baño
70420,100,Săpun Natural - Alge de mareAdaugă la .,Ducha y Baño,Jabon Natural,12.9,Algas Marinas,Rumania,https://nala.ro/products/sapun-natural-alge-de-mare,Jabón Natural,Gel de Ducha
70416,100,Săpun Natural cu Lufă - TeiAdaugă la .,Ducha y Baño,Jabon Natural,12.9,Tilo,Rumania,https://nala.ro/products/sapun-natural-cu-lufa-tei,Jabón Natural,Crema de Baño
